Experiment_ID	Sample_ID	MS_Instrument	Search_Software	Lab_Name	Exp._Quality_score									
HUPO_E1.01	HUPO_L1.01	esi-ms/ms_decaxp	PepMiner	HUPO_L1										
HUPO_E1.02	HUPO_L1.02	esi-ms/ms_decaxp	PepMiner	HUPO_L1										
HUPO_E1.03	HUPO_L1.03	esi-ms/ms_decaxp	PepMiner	HUPO_L1										
HUPO_E1.04	HUPO_L1.04	esi-ms/ms_decaxp	PepMiner	HUPO_L1										
HUPO_E1.05	HUPO_L1.05	esi-ms/ms_decaxp	PepMiner	HUPO_L1										
HUPO_E1.06	HUPO_L1.06	esi-ms/ms_decaxp	PepMiner	HUPO_L1										
HUPO_E1.07	HUPO_L1.07	esi-ms/ms_decaxp	PepMiner	HUPO_L1										
HUPO_E1.08	HUPO_L1.08	esi-ms/ms_decaxp	PepMiner	HUPO_L1										
HUPO_E2.01	HUPO_L2.01	esi-ms/ms_qtof	SEQUEST	HUPO_L2										
HUPO_E2.02	HUPO_L2.02	esi-ms/ms_qtof	SEQUEST	HUPO_L2										
HUPO_E2.03	HUPO_L2.03	esi-ms/ms_qtof	SEQUEST	HUPO_L2										
HUPO_E11.01	HUPO_L11.01	esi-ms/ms_decaxp	SEQUEST	HUPO_L11										
HUPO_E11.02	HUPO_L11.02	esi-ms/ms_decaxp	SEQUEST	HUPO_L11										
HUPO_E11.03	HUPO_L11.03	esi-ms/ms_decaxp	SEQUEST	HUPO_L11										
HUPO_E11.04	HUPO_L11.04	esi-ms/ms_decaxp	SEQUEST	HUPO_L11										
HUPO_E12.01	HUPO_L12.01	esi-ms/ms_deca	SEQUEST	HUPO_L12										
HUPO_E12.02	HUPO_L12.02	esi-ms/ms_deca	SEQUEST	HUPO_L12										
HUPO_E12.03	HUPO_L12.03	esi-ms/ms_deca	SEQUEST	HUPO_L12										
HUPO_E12.04	HUPO_L12.04	esi-ms/ms_deca	SEQUEST	HUPO_L12										
HUPO_E17.01	HUPO_L17.01	esi-ms/ms_lcq	SEQUEST	HUPO_L17										
HUPO_E21.01	HUPO_L21.01	esi-ms/ms_qtof	MASCOT	HUPO_L21										
HUPO_E21.02	HUPO_L21.02	maldi-ms/msabi4700	MASCOT	HUPO_L21										
HUPO_E21.03	HUPO_L21.03	esi-ms/ms_qtof	MASCOT	HUPO_L21										
HUPO_E21.04	HUPO_L21.04	esi-ms/ms_qtof	MASCOT	HUPO_L21										
HUPO_E21.05	HUPO_L21.05	maldi-ms/msabi4700	MASCOT	HUPO_L21										
HUPO_E21.06	HUPO_L21.06	esi-ms/ms_qtof	MASCOT	HUPO_L21										
HUPO_E21.07	HUPO_L21.07	esi-ms/ms_qtof	MASCOT	HUPO_L21										
HUPO_E21.08	HUPO_L21.08	maldi-ms/msabi4700	MASCOT	HUPO_L21										
HUPO_E21.09	HUPO_L21.09	esi-ms/ms_qtof	MASCOT	HUPO_L21										
HUPO_E22.01	HUPO_L22.01	esi-ms/ms_decaxp	SEQUEST	HUPO_L22										
